"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C2, C3, C4, C5, C6, C7, C8, C9, C13, C15, C16, C18, C19, C20, C23","15","100nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"3","C10","1","2-5pf","Capacitor_THT:C_Rect_L10.0mm_W5.0mm_P5.00mm_P7.50mm",""
"4","C11","1","30pF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"5","C12","1","33pF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"6","C14, C27, C28","3","33uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"7","C17, C21, C24, C26","4","220pf","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"8","C22, C29, C30","3","470uF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm",""
"9","C25","1","10nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"10","CON1","1","PICERINO-EDGE","Connector_PCBEdge_EXT:PICERINO-EDGE",""
"11","D1","1","D_Schottky","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"12","J1","1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"13","J2, J3, J4, J10","4","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"14","J5","1","Y","RCJ-041:RCJ041_TS",""
"15","J6","1","Yr","RCJ-041:RCJ041_TS",""
"16","J7","1","Yb","RCJ-041:RCJ041_TS",""
"17","J8, J9","2","Conn_01x08","Package_SIP:SIP-8_19x3mm_P2.54mm",""
"18","R1","1","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","R2, R4, R12, R13, R14","5","510R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","R5","1","680k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","R6","1","430R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","R7, R9, R10","3","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"23","R8, R17, R18","3","75R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"24","R11","1","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"25","R15","1","200R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"26","R16","1","270R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"27","TP1, TP2","2","TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"28","U1","1","LM1881","Package_DIP:DIP-8_W7.62mm_LongPads",""
"29","U2","1","AD813","Package_DIP:DIP-14_W7.62mm_LongPads",""
"30","U3","1","TMS9928A","Package_DIP:DIP-40_W15.24mm_LongPads",""
"31","U4","1","NE5532","Package_DIP:DIP-8_W7.62mm_LongPads",""
"32","U5, U6, U8, U9, U10, U11, U12, U13","8","MK4516N","Package_DIP:DIP-16_W7.62mm_LongPads",""
"33","U7","1","ADG453","Package_DIP:DIP-16_W7.62mm_LongPads",""
"34","Y1","1","Crystal","Crystal:Crystal_HC49-4H_Vertical",""
